Name,BuildingNumber,Fraction,Street,Unit,City,Zip Code,GeoArea,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,Note,PhoneNumber,Email,Website
E Grant Electrical Consultant and Development,6723,,S Oglesby Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-288-1110,,
Clock Construction,7442,,S Phillips Ave,Ste 1,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,No sign individual number,773-324-7733,,
Burris & Sons Heating & Cooling,7850,,S Colfax Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-375-4123,,
C and C Bell Plumbing,7638,,S Colfax Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,True,,773-351-9644,,
C F Taffe Plumbing,7412,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-221-6474,,
Ameriastar Contractors,6700,,S South Shore Dr,,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-241-5003,,
All Star Electric Company,7343,,S Chappel Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-667-5117,,
Angelo's Plumbing and Repair Services,6719,,S Oglesby Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,True,,773-493-4090,,
Angels Roof,2520,,E 72nd Pl,,Chicago,,South Shore,Active,Trade Service,Building trades,True,,,,
Ajv Heating Cooling,2716,,E 76th Pl,,Chicago,,South Shore,Out of Business,Trade Service,Building trades,True,,,,
A & D Construction Company,7346,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-933-7840,,
Able and Willing Plumbing,6700,,S South Shore Dr,,Chicago,60649,South Shore,Moved,Trade Service,Building trades,True,,773-731-1373,,
Abbey's Sealcoating Paving & Striping,7801,,S South Chicago Ave,,Chicago,60619,South Shore,Active,Trade Service,Building trades,False,,773-671-2772,,
B D Construction,6940,,S Oglesby Ave,Apt 3W,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-507-0389,,
Bell Painting & Installation,7612,,S Yates Blvd,,Chicago,60649,South Shore,Active,Trade Service,Building trades,True,,773-933-4705,,
Finest Shoe Repair,1938,,E 79th St,,Chicago,60649,South Shore,Active,Trade Service,Other repair,False,,773-818-3742,,
The Dobbins Group,7706,,S East End Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Outdoor service,True,,773-458-0050,,
Student Landscapers,7716,,S East End Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Outdoor service,True,,877-974-7277,,
Bill Johnson Landscape Design,1727,,E 75th St,,Chicago,60649,South Shore,Active,Trade Service,Outdoor service,False,,773-288-8419,,
Darnell's Ground Service,7149,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Outdoor service,False,,773-375-3408,,
Brown Services,7317,,S Merrill Ave,,Chicago,60649,South Shore,Active,Trade Service,Outdoor service,True,,773-319-1386,,
Worldwide Constructors and Landscaping,6815,,S Jeffery Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Outdoor service,True,,,,
Zap Pest Control,2520,,E 72nd Pl,,Chicago,,South Shore,Active,Trade Service,Indoor service,True,,877-781-1940,,
Cleaning Hands,1751,,E 67th St,,Chicago,60649,South Shore,Out of Business,Trade Service,Indoor service,True,,773-324-5689,,
Cleaning Masters,7749,,S Phillips Ave,,Chicago,,South Shore,Out of Business,Trade Service,Indoor service,True,No sign number disconnected,773-731-1496,,
Mccurty Home Maintenance,7815,,S Saginaw Ave,,Chicago,,South Shore,Out of Business,Trade Service,Indoor service,True,No sign number is Glass Designers Inc,773-978-2815,,
Quality Maintenance Janitorial Supply,1343,,E 71st Pl,,Chicago,,South Shore,Unknown,Trade Service,Indoor service,True,No signs or number,,,
R & B Pest Control,6718,,S Ridgeland Ave,,Chicago,60649,South Shore,Active,Trade Service,Indoor service,True,,773-255-4812,,
DJ and Associates,7442,,S Kenwood Ave,,Chicago,60619,South Shore,Active,Trade Service,Indoor service,True,,312-450-1408,,
Fox & Fox Janitorial Services,2619,,E 74th St,Apt 2E,Chicago,60649,South Shore,Unknown,Trade Service,Indoor service,True,,,,
J B's Carpet and Rug Cleaning Services,7618,,S Yates Blvd,,Chicago,60649,South Shore,Active,Trade Service,Indoor service,True,,773-721-4237,,
J&S Cleaning Service,7843,,S Constance Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Indoor service,True,,773-374-6619,,
Jan Pro Cleaning Systems,7558,,S Yates Blvd,,Chicago,60649,South Shore,Out of Business,Trade Service,Indoor service,True,,773-374-2486,,
Golden Age Cleaning,7236,,S Euclid Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Indoor service,True,,773-256-0135,,
Katco & Associates,7558,,S Yates Blvd,,Chicago,60649,South Shore,Out of Business,Trade Service,Indoor service,True,,773-934-2326,,
Loves Cleaning,2149,,E 68th St,,Chicago,,South Shore,Out of Business,Trade Service,Indoor service,True,,,,
L.U.P. Pest Control,7124,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Trade Service,Indoor service,False,,773-675-4757,,
Foscett's Communications and Alarm,1842,,E 79th St,,Chicago,60649,South Shore,Active,Trade Service,Security,False,,773-374-3700,,
Execupro,1335,,E 75th St,,Chicago,60619,South Shore,Out of Business,Trade Service,Security,False,,,,
Alextronics Systems,1869,,E 71st St,,Chicago,60649,South Shore,Active,Trade Service,Security,False,,773-363-5000,,
Blink Digital Security,6700,,S South Shore Dr,,Chicago,60649,South Shore,Moved,Trade Service,Security,True,,312-342-8315,,
Allpoints Security and Detective Agency,2110,2017-01-02,E 71st St,,Chicago,60649,South Shore,Active,Trade Service,Security,False,,773-955-6700,,
Flower Shop,1969,,E 73rd St,,Chicago,60649,South Shore,Active,Trade Service,Florist,False,,773-375-1856,,
Maison Bleu,1814,,E 79th St,,Chicago,60649,South Shore,Out of Business,Trade Service,Florist,False,,773-734-9052,,
Progressive Funeral Parlor,7208,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Funeral,False,,773-288-7110,,
Slaughter & Son Funeral Home,2024,,E 75th St,,Chicago,60649,South Shore,Active,Trade Service,Funeral,False,,773-643-5355,,
E Z Tree Recycling,7050,,S Dorchester Ave,,Chicago,60637,South Shore,Active,Trade Service,Disposal,False,,773-493-8600,,
Life Savers,1842,,E 79th St,,Chicago,60649,South Shore,Active,Trade Service,Equipment rental,False,,773-731-8660,,
"TNURB Equipment Leasing, Demolition, and Excavating",1220,,E 75th St,,Chicago,60619,South Shore,Unknown,Trade Service,Equipment rental,True,,,,
Rent-A-Center,2101,,E 71st St,Ste G,Chicago,60649,South Shore,Active,Trade Service,Equipment rental,False,,773-324-4800,,
Bike Clinic,2221,,E 71st St,,Chicago,60649,South Shore,Active,Trade Service,Bike shops,False,,773-955-2028,,
CBI Computers,7269,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Tech service,False,,773-731-4780,,
R And G Technologies,2600,,E 78th St,,Chicago,,South Shore,Unknown,Trade Service,Tech service,True,No signs or number,,,
Printbox Technologies Limited,7733,,S Saginaw Ave,,Chicago,60649,South Shore,Active,Trade Service,Tech service,True,,773-734-6858,,
Silently Speaking Designs,7641,,S Yates Blvd,,Chicago,60649,South Shore,Unknown,Trade Service,Tech service,True,,,,
H2 Tech Services,7801,,S Paxton Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Tech service,True,,,,
Latif Communications Group,7405,,S Kimbark Ave,,Chicago,60619,South Shore,Out of Business,Trade Service,Media,True,,312-849-3456,,
Smith Myers and Company,7809,,S Cornell Ave,,Chicago,60649,South Shore,Active,Trade Service,Media,True,,773-731-2567,,
Tbl Publishing,6700,,S Oglesby Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Media,True,,,,
Pretty Boy Pictures,7051,,S Bennett Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Media,True,,,,
Reel Biz Solutions,7701,,S Paxton Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Media,True,,,,
RTM Productions,7741,,S Cornell Ave,Ste 3,Chicago,60649,South Shore,Active,Trade Service,Media,True,,773-374-4075,,
Chicago Salon News,6825,,S Ridgeland Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Media,True,,,,
Chico One Company,6927,,S Merrill Ave,Ste 2,Chicago,60649,South Shore,Active,Trade Service,Media,True,,773-288-2637,,
Vizion Media,1461,,E 69th Pl,,Chicago,,South Shore,Out of Business,Trade Service,Media,True,,312-373-9112,,
Potter Studio Photography,2040,,E 79th St,,Chicago,60649,South Shore,Active,Trade Service,Photo studio,False,,,,
Reclaiming Beauty Studio,2042,,E 79th St,,Chicago,60649,South Shore,Active,Trade Service,Photo studio,False,,773-321-2216,,
The Phoenix Studio,2340,,E 75th St,,Chicago,60649,South Shore,Active,Trade Service,Photo studio,True,,,,
Dei World Focus Photograph,6815,,S Crandon Ave,,Chicago,60649,South Shore,Active,Trade Service,Photo studio,True,,,,
Richard Duncan Photography,6926,,S Bennett Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Photo studio,True,,773-684-5160,,
Townsend Photos Unlimited,1720,,E 70th St,,Chicago,,South Shore,Active,Trade Service,Photo studio,True,,773-752-1830,,
Lowenstein Photo,7321,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Trade Service,Photo studio,True,,773-220-0275,,
Hyde Park Animal Hospital,6937,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Animal care,False,,773-324-4484,,
Dorchester Animal Hospital,1400,,E 75th St,,Chicago,60619,South Shore,Active,Trade Service,Animal care,False,,773-363-2200,,
South Shore Animal Clinic,2320,,E 79th St,,Chicago,60649,South Shore,Out of Business,Trade Service,Animal care,False,,773-375-1212,,
Beauty Supply,7500,,S Yates Blvd,,Chicago,60620,South Shore,Active,Personal Service,Beauty,False,,,,
Francis African Hair Braiding,2544,2017-01-02,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-731-8524,,
Top 10 Nails & Spa,6942,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,872-818-5518,,
Perfect Pieces,7207,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,872- 22-5 21,,
Zabeth Skin Care Studio,6930,,S South Shore Dr,,Chicago,60649,South Shore,Active,Personal Service,Beauty,True,,773-324-6936,,
Wonder Nails,1534,,E 75th St,,Chicago,60619,South Shore,Active,Personal Service,Beauty,False,,773-752-4950,,
Tracy's Nails,2138,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-288-7926,,
Top 71 Nails,2060,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-324-1168,,
TJ Nails,7621,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-221-0887,,
The Spot,1753,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-288-4882,,
Tee'z Barber & Beauty,1739,,E 75th St,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-418-1282,,
Tandria's Ultra Unique Hair Salon,1961,,E 73rd St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-752-6230,,
Spice Beauty Bar,7045,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-684-9274,,
Starlight Barber & Beauty Shop,1912,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-374-4592,,
Sideline Studio Hair Salon,1873,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-955-2773,,
Sidone African Hair Braiding,2237,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-715-5936,,
Russell's Barber Shop,2240,,E 73rd St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-752-7748,,
Readonia's Hair Boutique,7207,,S Constance Ave,,Chicago,60649,South Shore,Unknown,Personal Service,Beauty,True,,,,
Pretty Nails,7131,,S Jeffery Ave,J,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-643-2353,,
Private Practice Salon,2220,,E 75th St,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-375-0555,,
Professional Hair Braiding,2602,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-731-5955,,
Personal Touch,2204,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-375-7500,,
Original Man's Barber/Style Shop,1975,,E 73rd St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-288-4655,,
Olivia African Hair Braiding,7465,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Personal Service,Beauty,True,,,,
Mr James Hair Studio,2053,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-363-7750,,
Nail Spa,7344,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
Nails By Judith,1448,,E 69th Pl,,Chicago,,South Shore,Active,Personal Service,Beauty,True,,773-493-9804,,
Nassi African Hair Braiding,2730,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-374-1753,,
Mary's African Hair Braiding,1956,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-375-5856,,
Mai's Africa Hair Brading,1977,,E 73rd St,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-288-8899,,
Major's Hair Care Salon,7625,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-375-0049,,
Mais Africa Hair Braiding,1974,,E 73rd St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-288-8899,,
Mena's Hair Design,2302,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
Loonie's Young Cuts Barber Shop,1524,,E 69th Pl,,Chicago,,South Shore,Active,Personal Service,Beauty,False,,773-386-3865,,
Leverette's 3 Xclusive,7150,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-960-6460,,
Lou Byrd Barber Shop,2012,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-324-0467,,
La Chateau,2808,,E 79th St,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-734-9184,,
Lacey's Beauty Salon,2236,,E 73rd St,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-752-5605,,
Laure's African Hair Braiding,2050,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-241-5169,,
JJ's Hair Salon,1959,,E 73rd St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-752-2457,,
Johariel's Hair Salon,7146,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-901-9200,,
Jeffery Nails,7112,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-324-2044,,
Imani Hair Care Distributor,7032,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-643-5000,,
Hailey's African Hair Braiding,7165,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-375-4000,,
Hair 4u,7205,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-221-8561,,
Hair Express,2057,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-684-9033,,
Hair Salon,2422,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
Hair the Barber Shop,2220,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-734-0708,,
Hair Unique,1754,,E 79th St,Ste 1,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-978-1379,,
Gatlin & Chambers,7152,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-734-9396,,
Gordy's Barber Shop / Beauty Shop,1407,,E 75th St,,Chicago,60619,South Shore,Active,Personal Service,Beauty,False,,773-955-1955,,
Final Touch Hair Studio,2224,,E 75th St,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-661-2993,,
Coleman Brothers Barber Shop,6802,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Personal Service,Beauty,False,,773-363-8171,,
Guyse Salon of Beauty,2309,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-684-9188,,
Hay Good Looking,2732,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-374-2501,,
Herbert's Natural Cuts and Beauty Salon,7854,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-734-9611,,
House of Nia Beauty Salon,2044,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
Dubose Barbershop,2225,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
J. Edward Salon and Barbershop,6949,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,312-833-1180,,
Egyptian Hair Design,6908,,S Stony Island Ave,,Chicago,60637,South Shore,Active,Personal Service,Beauty,False,,773-256-1271,,
Fatou Hair Braiding,7128,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-363-5834,,
Complete Hair Studio,2628,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-703-6107,,
Cut It Out Curt,1741,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-256-1571,,
Da Cuttin Image,7038,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-288-0584,,
J J's Hair Salon,1959,,E 73rd St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,True,,,,
Bijou Hair Braiding,2110,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-324-4405,,
Beauty Sisters Nail Spa,1836,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-359-4174,,
Best African Hair Braiding by Faso Didi,2218,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-221-6264,,
The Original Man's Grooming Lounge,2315,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
Attitudes Total Hair Care,1526,,E 69th Pl,,Chicago,,South Shore,Active,Personal Service,Beauty,False,,,,
3 Diamond Nails,1867,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-966-6861,,
Alon,7112,,S Yates Blvd,B,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,,,
Angie's Hair Salon,1922,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,Beauty,False,,773-947-9305,,
Ink Slinger's Tattoos,6902,,S Stony Island Ave,,Chicago,60637,South Shore,Active,Personal Service,Body art,False,,773-256-0471,,
Cold as Ice,1838,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,Body art,False,,872-228-0183,,
Village Well Laundromat,2126,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-241-7524,,
Yates Cleaners,7118,,S Yates Blvd,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,,,
Spotless Solutions,7152,,W 71st Pl,,Chicago,,South Shore,Unknown,Personal Service,"Laundry, tailor",False,Address is likely wrong,,,
Quad Valet Cleaners,6700,,S South Shore Dr,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",True,,773-752-1732,,
Sew Fine Ethnic and Cultural Designs,1333,,E 75th St,Fl 1,Chicago,60619,South Shore,Out of Business,Personal Service,"Laundry, tailor",False,,773-363-1547,,
Shore Cleaners,1946,,E 79th St,,Chicago,60649,South Shore,Out of Business,Personal Service,"Laundry, tailor",False,,773-375-0933,,
Spin Dry Laundromat,2416,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,,,
Spincycle,7352,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-955-2655,,
Stony Laundry,6808,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,,,
Sudz Coin Laundry,2660,,E 79th St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,,,
Sudzone Laundromat,1645,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,,,
J R Laundromat,2601,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-375-2222,,
Lake Terrace Cleaners,7337,,S South Shore Dr,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,,,
Joy Cleaners,2054,,E 71st St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-684-0770,,
Fox Cleaners Company,7629,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-221-3434,,
Lee Cleaners,7857,,S Yates Blvd,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-721-5152,,
Novelty Stitching & Embroidery,7807,,S Oglesby Ave,,Chicago,60649,South Shore,Unknown,Personal Service,"Laundry, tailor",True,,,,
Paxton Laundromat,2154,,E 79th St,,Chicago,60649,South Shore,Out of Business,Personal Service,"Laundry, tailor",False,,773-374-6171,,
Perfection Cleaners,1920,,E 71st St,,Chicago,60649,South Shore,Out of Business,Personal Service,"Laundry, tailor",False,,773-363-7400,,
Fabricare Center,7633,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-221-6003,,
Cattlett's Cleaners,7337,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Personal Service,"Laundry, tailor",True,,,,
IC Shine,2530,,E 75th St,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-731-1220,,
Cleaner Quality One Hour,7163,,S Exchange Ave,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-359-4826,,
City Cleaners,7159,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Personal Service,"Laundry, tailor",False,,773-684-2121,,
Fletchen New Laundry Two,1346,,E 75th St,,Chicago,60619,South Shore,Active,Personal Service,"Laundry, tailor",False,,312-458-9334,,
Bank of America,7131,,S Stony Island Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,False,,773-363-5412,,
Chase,7131,,S Jeffery Ave,E,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,False,,773-493-5103,,
Fifth Third Bank,1606,,E 79th St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,False,,,,
PNC Bank,7300,,S Stony Island Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,False,,773-955-9162,,
TCF Bank,7530,,S Stony Island Ave,,Chicago,60619,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,False,,773-643-1519,,
QLB Accounting,7148,,S Exchange Ave,,Chicago,60638,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-599-0752,,
See English Accounting Tax Services,1328,,E 75th St,,Chicago,60619,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-324-3939,,
Shirley A Brown Tax Accountant,2231,,E 67th St,Apt 10A,Chicago,60649,South Shore,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,True,,773-643-5221,,
Speedy Refunds Tax Service,1968,,E 73rd St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-544-6495,,
Taxes Etc.,2311,,E 71st St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-493-1040,,
Jackson Hewitt Tax Service,1953,,E 71st St,,Chicago,60649,South Shore,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-324-7667,,
Jackson Hewitt Tax Services,6800,,S Stony Island Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,,,
Kevin McGee CPA,1809,,E 71st St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-752-6370,,
Madison Income Tax Service,2665,,E 77th St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,True,,773-978-2193,,
Liberty Tax Service,1916,,E 79th St,,Chicago,60649,South Shore,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-581-2500,,
Liberty Tax Service,7116,,S Jeffery Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-363-5950,,
Major Tax,1735,,E 71st St,,Chicago,60649,South Shore,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-241-7600,,
Murphy Tax Service,1500,,E 69th St,,Chicago,,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,True,,,,
Home Tax Service,2454,,E 74th St,,Chicago,60649,South Shore,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,True,,,,
H&R Block,2101,,E 71st St,Ste B,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-643-0715,,
Everette Accounting Services,2528,,E 75th St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-734-1992,,
DJW Tax Service,1723,,E 71st St,,Chicago,60649,South Shore,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-288-8080,,
Dilworth's Fax Tax Service,2139,,E 70th St,,Chicago,60649,South Shore,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,True,,,,
Creative Tax Solutions,6906,,S Stony Island Ave,,Chicago,60637,South Shore,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-891-1305,,
Bell Tax Service,6945,,S Stony Island Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-994-8944,,
Apex Tax Service,2202,,E 75th St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,False,,773-731-0406,,
75th & Exchange Currency Exchange,2640,,E 75th St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,False,,773-721-8400,,
75th and Stony Island Currency Exchange,1611,,E 75th St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,False,,773-684-5821,,
Check Changers,7100,,S Jeffery Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,False,,,,
Fast Checks,7458,,S Exchange Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,False,,773-375-2274,,
Stony Island Currency Exchange,6714,,S Stony Island Ave,,Chicago,60637,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,False,,773-363-0207,,
Payday Loan Store,2132,,E 71st St,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Payday loan,False,,773-493-3000,,
71st and Jeffery Loans,7100,,S Jeffery Ave,,Chicago,60649,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Payday loan,False,,773-324-9900,,
D'Angelo's Pawner and Jewelry,6920,,S Stony Island Ave,,Chicago,60637,South Shore,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Pawn shop,False,,773-643-6955,,
